g,time,width
0.01,364.963492842894,24.12109375
0.01,366.54039547338226,24.31640625
0.01,368.1172981038705,24.51171875
0.01,369.69420073435873,24.51171875
0.01,371.27110336484697,24.70703125
0.01,372.8480059953352,24.70703125
0.01,374.42490862582343,24.90234375
0.01,376.00181125631167,24.90234375
0.01,377.5787138867999,25.09765625
0.01,379.15561651728814,25.09765625
0.01,380.7325191477764,25.29296875
0.01,382.3094217782646,25.29296875
0.01,383.88632440875284,25.48828125
0.01,385.4632270392411,25.48828125
0.01,387.0401296697293,25.68359375
0.01,388.61703230021755,25.68359375
0.01,390.1939349307058,25.87890625
0.01,391.770837561194,26.07421875
0.01,393.34774019168225,26.07421875
0.01,394.9246428221705,26.26953125
0.01,396.5015454526587,26.26953125
0.01,398.07844808314695,26.46484375
0.01,399.6553507136352,26.46484375
0.01,401.2322533441234,26.66015625
0.01,402.80915597461166,26.66015625
0.01,404.3860586050999,26.85546875
0.01,405.9629612355881,26.85546875
0.01,407.53986386607636,27.05078125
0.01,409.1167664965646,27.05078125
0.01,410.69366912705283,27.24609375
0.01,412.27057175754106,27.44140625
0.01,413.8474743880293,27.44140625
0.01,415.42437701851753,27.63671875
0.01,417.00127964900577,27.63671875
0.01,418.578182279494,27.83203125
0.01,420.15508490998224,27.83203125
0.01,421.73198754047047,28.02734375
0.01,423.0368800177615,28.02734375
0.01,424.34177249505257,28.22265625
0.01,425.6466649723436,28.22265625
0.01,426.95155744963466,28.41796875
0.01,428.2564499269257,28.41796875
0.01,429.56134240421676,28.61328125
0.01,430.8662348815078,28.61328125
0.01,432.17112735879886,28.80859375
0.01,433.4760198360899,28.80859375
0.01,434.78091231338095,28.80859375
0.01,436.085804790672,29.00390625
0.01,437.39069726796305,29.00390625
0.01,438.6955897452541,29.19921875
0.01,440.00048222254514,29.19921875
0.01,441.3053746998362,29.39453125
0.01,442.61026717712724,29.39453125
0.01,443.9151596544183,29.58984375
0.01,445.22005213170934,29.58984375
0.01,446.5249446090004,29.78515625
0.01,447.82983708629143,29.78515625
0.01,449.1347295635825,29.98046875
0.01,450.43962204087353,29.98046875
0.01,451.7445145181646,30.17578125
0.01,453.0494069954556,30.17578125
0.01,454.3542994727467,30.17578125
0.01,455.6591919500377,30.37109375
0.01,456.96408442732877,30.37109375
0.01,458.2689769046198,30.56640625
0.01,459.57386938191087,30.56640625
0.01,460.8787618592019,30.76171875
0.01,462.18365433649296,30.76171875
0.01,463.488546813784,30.95703125
0.01,464.79343929107506,30.95703125
0.01,466.0983317683661,31.15234375
0.01,467.40322424565716,31.15234375
0.01,468.7081167229482,31.34765625
0.01,470.01300920023925,31.34765625
0.01,471.3179016775303,31.54296875
0.01,472.62279415482135,31.54296875
0.01,473.9276866321124,31.73828125
0.01,475.23257910940345,31.73828125
0.01,476.5374715866945,31.93359375
0.01,477.84236406398554,31.93359375
0.01,479.1472565412766,31.93359375
0.01,480.45214901856764,32.12890625
0.01,481.7570414958587,32.12890625
0.01,483.06193397314973,32.32421875
0.01,484.3668264504408,32.32421875
0.01,485.67171892773183,32.51953125
0.01,486.9766114050229,32.51953125
0.01,488.2815038823139,32.71484375
0.01,489.586396359605,32.71484375
0.01,490.891288836896,32.91015625
0.01,492.1961813141871,32.91015625
0.01,493.5010737914781,33.10546875
0.01,494.80596626876917,33.10546875
0.01,496.1108587460602,33.30078125
0.01,497.41575122335126,33.30078125
0.01,498.7206437006423,33.49609375
0.01,500.02553617793336,33.49609375
0.01,501.3304286552244,33.69140625
0.01,502.63532113251546,33.69140625
0.01,503.9402136098065,33.88671875
0.01,505.24510608709755,33.88671875
0.01,506.5499985643886,34.08203125
0.01,507.85489104167965,34.08203125
0.01,509.1597835189707,34.27734375
0.01,510.46467599626175,34.27734375
0.01,511.7695684735528,34.47265625
0.01,513.0744609508439,34.47265625
0.01,514.379353428135,34.66796875
0.01,515.6842459054261,34.66796875
0.01,516.9891383827172,34.86328125
0.01,518.2940308600083,34.86328125
0.01,519.5989233372994,35.05859375
0.01,520.9038158145905,35.05859375
0.01,522.2087082918816,35.25390625
0.01,523.5136007691727,35.25390625
0.01,524.8184932464638,35.44921875
0.01,526.123385723755,35.44921875
0.01,527.428278201046,35.64453125
0.01,528.7331706783372,35.64453125
0.01,530.0380631556283,35.83984375
0.01,531.3429556329194,35.83984375
0.01,532.6478481102105,36.03515625
0.01,533.9527405875016,36.03515625
0.01,535.2576330647927,36.23046875
0.01,536.5625255420838,36.23046875
0.01,537.8674180193749,36.42578125
0.01,539.172310496666,36.42578125
0.01,540.4772029739571,36.62109375
0.01,541.7820954512482,36.62109375
0.01,543.0869879285393,36.81640625
0.01,544.3918804058304,36.81640625
0.01,545.6967728831215,37.01171875
0.01,547.0016653604126,37.01171875
0.01,548.3065578377037,37.20703125
0.01,549.6114503149948,37.20703125
0.01,550.916342792286,37.40234375
0.01,552.221235269577,37.40234375
0.01,553.5261277468682,37.59765625
0.01,554.8310202241593,37.59765625
0.01,556.1359127014504,37.79296875
0.01,557.4408051787415,37.79296875
0.01,558.7456976560326,37.98828125
0.01,560.0505901333237,37.98828125
0.01,561.3554826106148,38.18359375
0.01,562.6603750879059,38.18359375
0.01,563.965267565197,38.37890625
0.01,565.2701600424881,38.37890625
0.01,566.5750525197792,38.57421875
0.01,567.8799449970703,38.57421875
0.01,569.1848374743614,38.76953125
