g,t,h_max
0.01,0.0,1.0698216699004093
0.01,0.0008175568525747387,1.0688519944195516
0.01,0.0010219460657184232,1.0686066023690493
0.01,0.0010730433690043443,1.0685506261356292
0.01,0.001075599898725848,1.0685462446780296
0.01,0.0010781564284473519,1.0685419080550076
0.01,0.0010807129581688556,1.0685378845432365
0.01,0.0010832694878903594,1.0685341444087173
0.01,0.0010858260176118632,1.0685306138282307
0.01,0.001088382547333367,1.0685272291788939
0.01,0.0010909390770548707,1.0685239439867589
0.01,0.0010934956067763745,1.06852072600245
0.01,0.0010960521364978782,1.0685175532557376
0.01,0.001098608666219382,1.0685144108814606
0.01,0.0011011651959408858,1.0685112888469035
0.01,0.0011037217256623896,1.068508180386512
0.01,0.0011062782553838933,1.0685050809390237
0.01,0.001108834785105397,1.0685019874295167
0.01,0.0011113913148269009,1.0684988977852872
0.01,0.0011139478445484046,1.0684958106095268
0.01,0.0011165043742699084,1.0684927249613272
0.01,0.001120003350783913,1.0684885029670732
0.01,0.001154993115923959,1.0684462653801954
0.01,0.001189982881064005,1.068403977997292
0.01,0.001224972646204051,1.0683616137083431
0.01,0.0015748702976045108,1.067930068909267
0.01,0.0019247679490049707,1.0674908470022146
0.01,0.0034111917440781906,1.065494213315328
0.01,0.00489761553915141,1.0633850189767886
0.01,0.007266138951965581,1.0599109229441295
0.01,0.009634662364779752,1.0562479304644627
0.01,0.012003185777593923,1.0524677665319357
0.01,0.016044337267878572,1.0458843733669967
0.01,0.020085488758163222,1.0393376519646647
0.01,0.02412664024844787,1.0329717401941747
0.01,0.02816779173873252,1.0268321836272167
0.01,0.032955919233229755,1.0198508566630253
0.01,0.037744046727726986,1.0131941090597536
0.01,0.04253217422222422,1.0068610749087565
0.01,0.04732030171672145,1.0008565695013243
0.01,0.05210842921121868,0.9951863733782961
0.01,0.05689655670571591,0.989859353457595
0.01,0.06168468420021314,0.9848833989704158
0.01,0.06762449472788827,0.9792035222119114
0.01,0.0735643052555634,0.9740677129700633
0.01,0.07950411578323853,0.9694634297123783
0.01,0.08544392631091366,0.9653677469621613
0.01,0.09230629366499056,0.9612285259368479
0.01,0.09916866101906746,0.9576741617763104
0.01,0.10603102837314436,0.9546496045217387
0.01,0.11289339572722126,0.9521010500390698
0.01,0.11975576308129816,0.9499780355028794
0.01,0.12661813043537506,0.948234203749902
0.01,0.13348049778945195,0.9468270902902682
0.01,0.14034286514352884,0.94571762335801
0.01,0.14720523249760573,0.9448698755594264
0.01,0.1540675998516826,0.9442511154430424
0.01,0.1609299672057595,0.9438319200796725
0.01,0.1677923345598364,0.945194180578104
0.01,0.17465470191391327,0.9466271958155571
0.01,0.1839288343219408,0.9484430878581969
0.01,0.1932029667299683,0.9500944774240546
0.01,0.20247709913799583,0.9516064715589082
0.01,0.21175123154602335,0.9530000665002202
0.01,0.226985650250184,0.9550752256054831
0.01,0.24222006895434464,0.9569385884226111
0.01,0.2574544876585053,0.9586371304006419
0.01,0.27268890636266596,0.9602048277065625
0.01,0.29743806247150517,0.9625286838064763
0.01,0.3221872185803444,0.9646424624948905
0.01,0.3469363746891836,0.9665934225451854
0.01,0.3716855307980228,0.9684139916726869
0.01,0.41274457656218977,0.9713205807198829
0.01,0.45380362232635674,0.9739568227087069
0.01,0.4948626680905237,0.9764346944561837
