g,t,h_max
0.01,0.0,1.0698216699004093
0.01,0.0008175568521812916,1.0688519944207213
0.01,0.0010219460652266144,1.068606602859214
0.01,0.001073043368487945,1.0685506507616591
0.01,0.0010756087816687098,1.0685462523525628
0.01,0.0010781741948494745,1.0685418975451653
0.01,0.0010807396080302393,1.068537857705074
0.01,0.001083305021211004,1.0685341034016365
0.01,0.0010858704343917687,1.0685305602627224
0.01,0.0010884358475725334,1.0685271640668834
0.01,0.0010910012607532982,1.0685238678991194
0.01,0.0010935666739340629,1.0685206392294886
0.01,0.0010961320871148276,1.0685174559238917
0.01,0.0010986975002955923,1.0685143030280257
0.01,0.001101262913476357,1.068511170464624
0.01,0.0011038283266571218,1.0685080514488006
0.01,0.0011063937398378865,1.0685049414134455
0.01,0.0011089591530186512,1.0685018372844606
0.01,0.001111888188266344,1.0684982966415038
0.01,0.0011148172235140369,1.0684947607177424
0.01,0.0011177462587617297,1.068491226520249
0.01,0.0011204058460461091,1.0684880180676277
0.01,0.0011470017188899026,1.06845592295451
0.01,0.001173597591733696,1.0684237955458171
0.01,0.0012001934645774895,1.0683916255339099
0.01,0.0014661521930154253,1.0680654028730998
0.01,0.0017321109214533611,1.0677347840603861
0.01,0.0031204629086294096,1.065892741096942
0.01,0.0045088148958054575,1.0639478744890387
0.01,0.006765008980661162,1.060676717927299
0.01,0.009021203065516866,1.0572182002604111
0.01,0.01127739715037257,1.053637416542607
0.01,0.015221871173051155,1.0472183056706164
0.01,0.01916634519572974,1.0408040233669706
0.01,0.023110819218408324,1.0345461514007104
0.01,0.02705529324108691,1.0284973123180277
0.01,0.03185400638225391,1.0214247036936368
0.01,0.03665271952342092,1.0146785154708144
0.01,0.04145143266458792,1.008257638008612
0.01,0.04625014580575493,1.0021665580684158
0.01,0.05104885894692193,0.9964091997426735
0.01,0.05584757208808894,0.9909945114723987
0.01,0.06064628522925594,0.9859307444120082
0.01,0.06544499837042295,0.9812230028154317
0.01,0.07024371151158995,0.9768721981200349
0.01,0.07504242465275696,0.9728742336637473
0.01,0.08038897423540908,0.9688209978810242
0.01,0.08573552381806121,0.9651728461295584
0.01,0.09108207340071334,0.9619081898668638
0.01,0.09642862298336546,0.9590031265733332
0.01,0.10177517256601759,0.9564326894018211
0.01,0.10712172214866972,0.9541718233425104
0.01,0.11246827173132184,0.9521961098221743
0.01,0.11781482131397397,0.9504820203043225
0.01,0.1231613708966261,0.9490072535123567
0.01,0.12927286198668325,0.947585885117394
0.01,0.1353843530767404,0.9464203607862014
0.01,0.14149584416679756,0.9454839751232123
0.01,0.14830943650791115,0.9446780468100185
0.01,0.15398204194215795,0.9441801144469768
0.01,0.15965464737640475,0.9438202610005111
0.01,0.16532725281065155,0.9447240202819709
0.01,0.17354634675670247,0.9464562958997006
0.01,0.18176544070275338,0.9480941629753478
0.01,0.1899845346488043,0.9495964962924547
0.01,0.1982036285948552,0.9509819134701
0.01,0.20642272254090613,0.952266393588124
0.01,0.21464181648695704,0.9534635855991141
0.01,0.22887373518366377,0.9553705210938329
0.01,0.2431056538803705,0.9570975161434867
0.01,0.25733757257707723,0.9586797484417555
0.01,0.27918881231566983,0.9608778186932302
0.01,0.30104005205426243,0.962867154255535
0.01,0.32289129179285503,0.9647072969841766
0.01,0.3447425315314476,0.966428608382325
0.01,0.3698212947574571,0.9682804330141578
0.01,0.3949000579834666,0.9701010034237458
0.01,0.4199788212094761,0.9718156874361136
0.01,0.4610225930637375,0.9744152361432874
0.01,0.5020663649179988,0.9768771275223715
0.01,0.5431101367722602,0.9791483489048437
0.01,0.613195449592177,0.9827132242784332
0.01,0.6832807624120938,0.9858756971457753
0.01,0.7533660752320106,0.9886804393597755
0.01,0.8618913120784103,0.9924418173901494
0.01,0.97041654892481,0.9955449174651153
0.01,1.0789417857712098,0.9981014312795441
0.01,1.227280004719241,1.0007998219030811
0.01,1.375618223667272,1.002803449989903
0.01,1.5239564426153032,1.0042786739731617
0.01,1.6722946615633343,1.0053700782501716
0.01,1.8677685043480143,1.0064038126694057
0.01,2.0632423471326944,1.0071267962597434
0.01,2.2587161899173744,1.0076173208838841
0.01,2.4541900327020545,1.0079368803004423
0.01,2.6496638754867345,1.0081380190743778
0.01,2.91737864113884,1.008309401729481
0.01,3.1850934067909455,1.0084218371495612
0.01,3.452808172443051,1.008503976525904
0.01,3.7205229380951566,1.008567352134404
0.01,4.431256205865347,1.0086776284078285
0.01,5.141989473635538,1.0087414477856083
0.01,5.852722741405728,1.0087837118262863
0.01,7.398721940242867,1.0088689162476858
0.01,8.944721139080006,1.0089008217008262
0.01,10.490720337917145,1.0089366585524209
0.01,12.25061877675002,1.0089024553905401
0.01,14.010517215582894,1.009029963685399
0.01,15.770415654415768,1.0091281152361882
0.01,17.53031409324864,1.0091776546147817
0.01,19.290212532081515,1.0092128646129286
0.01,21.05011097091439,1.0092176450365358
0.01,23.24898379616138,1.0092461725534285
0.01,25.44785662140837,1.0092575929510763
0.01,27.64672944665536,1.0093298105089343
0.01,29.84560227190235,1.0093558621072014
0.01,32.04447509714934,1.0093615629795043
0.01,34.243347922396325,1.009307576008875
0.01,36.44222074764331,1.009348786970722
0.01,38.6410935728903,1.0094234250041736
0.01,40.839966398137285,1.0094839922913934
0.01,43.03883922338427,1.0094473935004196
0.01,45.675952623929824,1.0094602429497295
