g,epsilon,t_event,mean_height
0.01,0.5,1168.836901108588,0.6816819706553278
0.01,1,1354.5518654216978,0.8714287331380971
0.01,2,nan,nan
0.01096478196143185,0.5,1041.4280650840776,0.6594254945941402
0.01096478196143185,1,1204.1936378846453,0.8389857895917645
0.01096478196143185,2,nan,nan
0.012022644346174132,0.5,928.1572453411529,0.6381254738657156
0.012022644346174132,1,1070.565983955052,0.8081619029319557
0.012022644346174132,2,1269.0391610525544,1.0707252165671102
0.013182567385564075,0.5,827.6544588042015,0.617956220723753
0.013182567385564075,1,951.7243571286533,0.7787370628269886
0.013182567385564075,2,1128.3807826494283,1.0285002528008713
0.014454397707459272,0.5,738.3909275178095,0.5987197570184076
0.014454397707459272,1,846.0847228827238,0.750686036696737
0.014454397707459272,2,1003.0813026822165,0.9881307284655181
0.015848931924611134,0.5,659.12733143175,0.5803823817362495
0.015848931924611134,1,752.2540806514345,0.7240060086752316
0.015848931924611134,2,891.5301971536819,0.949627218435352
0.017378008287493755,0.5,588.7395982090643,0.5628821528514951
0.017378008287493755,1,668.855846135517,0.6984972112776802
0.017378008287493755,2,792.2386316977359,0.9128646313627569
0.019054607179632473,0.5,526.2624880093666,0.5462063083725041
0.019054607179632473,1,594.8293340436694,0.6742667229028692
0.019054607179632473,2,703.9097619653314,0.8778314466762176
0.020892961308540396,0.5,470.7916878202351,0.5302909268867342
0.020892961308540396,1,529.1353502314154,0.6512304189949429
0.020892961308540396,2,625.3363376686495,0.8443858747977938
0.022908676527677724,0.5,421.55433701431053,0.5151034331041048
0.022908676527677724,1,470.72618742738064,0.6290756471926282
0.022908676527677724,2,555.4723784145942,0.8124734268783096
0.025118864315095794,0.5,377.7962572522394,0.5005227059440328
0.025118864315095794,1,418.9969150827535,0.6081883160421355
0.025118864315095794,2,493.3729804457541,0.7820400409929402
0.02754228703338166,0.5,338.9576987184997,0.4866396339990092
0.02754228703338166,1,373.0291092319585,0.5881126025290963
0.02754228703338166,2,438.2012541661119,0.7530343345982395
0.03019951720402016,0.5,304.4370638080301,0.4733318991975951
0.03019951720402016,1,332.2965003782086,0.5690760462699677
0.03019951720402016,2,389.17436659531717,0.72531300021807
0.03311311214825911,0.5,273.758142034164,0.4606020712717572
0.03311311214825911,1,296.1833100162654,0.5509577092411091
0.03311311214825911,2,345.671410998397,0.6989845721257945
0.03630780547701014,0.5,246.42272974547677,0.4483268929382763
0.03630780547701014,1,264.14751882402163,0.5336502471577504
0.03630780547701014,2,307.04109324731036,0.673836497790214
0.039810717055349734,0.5,222.06921347257222,0.43655494646828513
0.039810717055349734,1,235.76426462235221,0.5172052520631854
0.039810717055349734,2,272.7407997625656,0.6497877867160539
0.04365158322401661,0.5,200.32024721237138,0.4251827821916394
0.04365158322401661,1,210.5951572569602,0.5015118069105542
0.04365158322401661,2,242.33429365118963,0.6269536773398966
0.04786300923226385,0.5,180.86150634162604,0.41422803427154303
0.04786300923226385,1,188.28254581330484,0.48654704070940297
0.04786300923226385,2,215.3588680893313,0.6051438738751844
0.05248074602497726,0.5,163.42647403653493,0.40366386090275286
0.05248074602497726,1,168.4935539249942,0.47225095696966335
0.05248074602497726,2,191.44600705501992,0.5843747088952577
0.057543993733715694,0.5,147.74751249101493,0.39343257117310265
0.057543993733715694,1,150.94716333324646,0.4586359244938115
0.057543993733715694,2,170.25178451306437,0.564582943457277
0.06309573444801933,0.5,133.61174839907724,0.38348609255920396
0.06309573444801933,1,135.36489543266083,0.445581708216462
0.06309573444801933,2,151.47084548337367,0.5457175047390789
0.06918309709189363,0.5,120.85614200590683,0.3738947603328147
0.06918309709189363,1,121.52686921190016,0.43310801330246895
0.06918309709189363,2,134.8386689341551,0.5277701655385898
0.07585775750291836,0.5,109.30958302031992,0.36459654331599717
0.07585775750291836,1,109.22053641590149,0.42116361875792185
0.07585775750291836,2,120.09732542859183,0.510617293229776
0.08317637711026708,0.5,98.85481721565868,0.35562585486227005
0.08317637711026708,1,98.25749948905984,0.4096920221143418
0.08317637711026708,2,107.04822281954989,0.49430168779889244
0.09120108393559097,0.5,89.37688987355992,0.3469737870796261
0.09120108393559097,1,88.47613787750097,0.3986762769841746
0.09120108393559097,2,95.49630070593119,0.47877073489427807
0.1,0.5,80.77214293391751,0.33861103082596655
0.1,1,79.72265685027301,0.3880453442904314
0.1,2,85.25650110252543,0.4639032569243745
0.1096478196143185,0.5,72.96929824526954,0.33058709269424863
0.1096478196143185,1,71.88230205172107,0.3778455025249391
0.1096478196143185,2,76.19495944004132,0.44979309009705515
0.12022644346174131,0.5,65.87380415355318,0.3228218601037167
0.12022644346174131,1,64.82996125630474,0.3679724865162325
0.12022644346174131,2,68.16015247953274,0.43628534365072
0.13182567385564073,0.5,59.44027152870541,0.31535719685795127
0.13182567385564073,1,58.484112302180534,0.3584890226912251
0.13182567385564073,2,61.0334783889133,0.4233691392573202
0.1445439770745927,0.5,53.594256400505024,0.30816042583707365
0.1445439770745927,1,52.750783133395956,0.3492878922508733
0.1445439770745927,2,54.71138736057035,0.4110528535704518
0.15848931924611134,0.5,48.29467805170079,0.30125291065270293
0.15848931924611134,1,47.579791471762626,0.34050157434047684
0.15848931924611134,2,49.095905827042685,0.3993073086007042
0.17378008287493754,0.5,43.49502104676005,0.2946709488022526
0.17378008287493754,1,42.89535175753,0.3319808370000142
0.17378008287493754,2,44.09239155296577,0.3880086231644387
0.19054607179632474,0.5,39.1332706829189,0.28823731731711294
0.19054607179632474,1,38.66123911938931,0.32384187744631054
0.19054607179632474,2,39.62962322224808,0.3771850390794459
0.20892961308540398,0.5,35.179964096798834,0.2820656514995822
0.20892961308540398,1,34.823615416410696,0.3159818718542867
0.20892961308540398,2,35.639097802358705,0.36679155272583747
0.22908676527677735,0.5,31.598763415675165,0.2761078473187768
0.22908676527677735,1,31.349120079519867,0.3084353064784584
0.22908676527677735,2,32.06165158777572,0.35679340967185147
0.25118864315095807,0.5,28.37656274215678,0.27053718085005385
0.25118864315095807,1,28.20038370161823,0.30116877447944335
0.25118864315095807,2,28.85301812113263,0.34724337462785476
0.2754228703338166,0.5,25.432045942221194,0.2649494947361156
0.2754228703338166,1,25.352351915901263,0.29421268605599693
0.2754228703338166,2,25.961306847140477,0.3380087889626124
0.3019951720402016,0.5,22.779167367256314,0.2595915252192801
0.3019951720402016,1,22.77089978973175,0.2874864822159755
0.3019951720402016,2,23.359911906012016,0.32921482657917245
0.3311311214825911,0.5,20.37946072347771,0.2544457838817385
0.3311311214825911,1,20.43904769469807,0.28106848171743914
0.3311311214825911,2,21.00931129694201,0.32072230219097575
0.3630780547701014,0.5,18.23413603118286,0.2496431248981473
0.3630780547701014,1,18.327118041153383,0.27485369681530797
0.3630780547701014,2,18.88752408432725,0.3125874726835167
0.3981071705534973,0.5,16.285286284147322,0.24487626398474177
0.3981071705534973,1,16.418054394842628,0.26888268834138884
0.3981071705534973,2,16.970499955683945,0.3047906009574759
0.4365158322401661,0.5,14.526121084382018,0.24023983019350686
0.4365158322401661,1,14.693839188587713,0.26313566749993506
0.4365158322401661,2,15.237474896823409,0.2972987203859629
0.47863009232263826,0.5,12.955052708301274,0.23589716447479106
0.47863009232263826,1,13.137617248809756,0.25760931253260866
0.47863009232263826,2,13.672547971054358,0.2901263784658583
0.5248074602497725,0.5,11.54782383229765,0.23176030493924765
0.5248074602497725,1,11.73601096512627,0.25230144934925947
0.5248074602497725,2,12.259746680720948,0.28327576045809616
0.5754399373371569,0.5,10.285415163421773,0.2277509976293469
0.5754399373371569,1,10.474402441778674,0.24721734426406683
0.5754399373371569,2,10.981033452504372,0.27664964511094586
0.6309573444801934,0.5,9.161011242993373,0.223959811602199
0.6309573444801934,1,9.335794535400085,0.24227865892534026
0.6309573444801934,2,9.828088410825648,0.27031513196801255
0.6918309709189366,0.5,8.166003441093808,0.22048383525584395
0.6918309709189366,1,8.317944861288693,0.23761061342461826
0.6918309709189366,2,8.78915642326018,0.2642647173543816
0.758577575029184,0.5,7.272859528697672,0.2170875381369744
0.758577575029184,1,7.398069581055891,0.23301854452320525
0.758577575029184,2,7.849338424104953,0.2583895446564959
0.8317637711026709,0.5,6.484256540240911,0.21397769442871453
0.8317637711026709,1,6.580712010622145,0.22873536338977388
0.8317637711026709,2,7.003063449233994,0.25275162904679094
0.9120108393559097,0.5,5.786934350268748,0.2110910587770544
0.9120108393559097,1,5.851861118180924,0.22467378509377992
0.9120108393559097,2,6.242663826023037,0.24737948246878338
1.0,0.5,5.1672702239985995,0.2083528479557651
1.0,1,5.202004526361511,0.22081587824205037
1.0,2,5.558492773102995,0.24220038186949078
