g,c,h_center
0.01,1,2.0024459267728636
0.019054607179632473,2,1.9945003716532128
0.03019951720402016,3,2.024611462088303
0.039810717055349734,4,2.024425974628115
0.047863009232263824,5,2.018478886560726
0.057543993733715694,6,2.020044447938762
0.06918309709189366,7,2.0262877617432853
0.0758577575029184,8,2.0207507787993477
0.08317637711026708,9,2.0186691598261337
0.09120108393559097,10,2.0204078109945227
