g,t,width
0.0001,0.0,1.952171791117621
0.0001,0.000816411403968402,1.952171791117621
0.0001,0.0010205142549605025,1.952171791117621
0.0001,0.0010332706831475088,1.952171791117621
0.0001,0.0010460271113345151,1.952171791117621
0.0001,0.0010490864599071177,1.952171791117621
0.0001,0.0010521458084797202,1.952171791117621
0.0001,0.0010552051570523228,1.952171791117621
0.0001,0.0010582645056249253,1.952171791117621
0.0001,0.001061323854197528,1.952171791117621
0.0001,0.0010643832027701305,1.952171791117621
0.0001,0.001067442551342733,1.952171791117621
0.0001,0.0010705018999153356,1.952171791117621
0.0001,0.0010735612484879381,1.952171791117621
0.0001,0.0010766205970605407,1.952171791117621
0.0001,0.0010796799456331432,1.952171791117621
0.0001,0.0010827392942057458,1.952171791117621
0.0001,0.0010857986427783484,1.952171791117621
0.0001,0.001088857991350951,1.952171791117621
0.0001,0.0010919173399235535,1.952171791117621
0.0001,0.001094976688496156,1.952171791117621
0.0001,0.0010980360370687586,1.952171791117621
0.0001,0.0011041547342139635,1.952171791117621
0.0001,0.0011102734313591684,1.952171791117621
0.0001,0.0011714604028112182,1.952171791117621
0.0001,0.001232647374263268,1.952171791117621
0.0001,0.0018445170887837674,1.952171791117621
0.0001,0.0024563868033042665,1.952171791117621
0.0001,0.004109390105185656,1.952171791117621
0.0001,0.005762393407067046,1.952171791117621
0.0001,0.008353705509456267,1.7569546120058561
0.0001,0.010945017611845487,1.7569546120058561
0.0001,0.013536329714234708,1.7569546120058561
0.0001,0.017771168716205783,1.7569546120058561
0.0001,0.022006007718176856,1.7569546120058561
0.0001,0.02624084672014793,1.5617374328940912
0.0001,0.030475685722119002,1.5617374328940912
0.0001,0.03527743537180331,1.5617374328940912
0.0001,0.04007918502148763,1.3665202537823404
0.0001,0.04488093467117194,1.3665202537823404
0.0001,0.049682684320856256,1.1713030746705755
0.0001,0.055054511614375204,1.1713030746705755
0.0001,0.06042633890789415,0.9760858955588105
0.0001,0.0657981662014131,0.7808687164470456
0.0001,0.07116999349493204,0.5856515373352806
0.0001,0.07654182078845098,0.19521717911176495
0.0001,0.08191364808196992,0.0
0.0001,0.08728547537548886,0.0
0.0001,0.0926573026690078,0.0
0.0001,0.09668415005949756,0.0
0.0001,0.10006021980969929,0.0
0.0001,0.10343628955990102,0.0
0.0001,0.10681235931010274,0.0
0.0001,0.11212990334643703,0.0
0.0001,0.11744744738277133,0.0
0.0001,0.12276499141910562,0.0
0.0001,0.12999128473476054,0.0
0.0001,0.13721757805041548,0.0
0.0001,0.14444387136607043,0.0
0.0001,0.15167016468172537,0.0
0.0001,0.16070279781536204,0.0
0.0001,0.1697354309489987,0.0
0.0001,0.17876806408263538,0.0
0.0001,0.18780069721627204,0.0
0.0001,0.19890016160265328,0.0
0.0001,0.20999962598903452,0.0
0.0001,0.22109909037541575,0.0
0.0001,0.23705841469374483,0.0
0.0001,0.2530177390120739,0.0
0.0001,0.268977063330403,0.0
0.0001,0.29180497684090906,0.0
0.0001,0.3146328903514151,0.0
0.0001,0.3374608038619212,0.0
0.0001,0.370628890609117,0.0
0.0001,0.40379697735631287,0.0
0.0001,0.4369650641035087,0.0
0.0001,0.4867227242963633,0.0
0.0001,0.5364803844892179,3.709126403123477
0.0001,0.5862380446820724,3.904343582235242
