g,c,t_event,h_center
0.001,1,14772.246457744588,1.037507906246463
0.001,10,15300.576845529033,1.0075691456533564
0.001,100,15277.053258531208,1.0068008752421198
0.001584893192461114,1,9237.897523932359,1.0561542652929166
0.001584893192461114,10,9597.497705680316,1.0138419961993086
0.001584893192461114,100,9583.185122326382,1.0125061546800609
0.0025118864315095794,1,5749.385869797711,1.0896416277810297
0.0025118864315095794,10,6020.952895695199,1.0240237944997048
0.0025118864315095794,100,6014.5128638489705,1.0217322653551633
0.003981071705534973,1,3553.5254919676318,1.160517675147403
0.003981071705534973,10,3770.7503962128617,1.0406477202573328
0.003981071705534973,100,3769.68570985536,1.0367212540055637
0.00630957344480193,1,2175.6892773464915,2.0509190412713205
0.00630957344480193,10,2354.1415479688676,1.068161661421434
0.00630957344480193,100,2356.364996219172,1.061319477947684
0.01,1,1314.500610084839,2.3117021470115073
0.01,10,1464.031217563528,1.1155366870046517
0.01,100,1467.9013854691436,1.1028283886191481
0.01584893192461114,1,794.2357693876711,3.0293225291606545
0.01584893192461114,10,907.2816892772435,1.2113017970370064
0.01584893192461114,100,911.6574332341353,1.1799030348551423
0.025118864315095808,1,487.0728975942705,3.4454041391243573
0.025118864315095808,10,562.0027242339945,2.037237911987556
0.025118864315095808,100,566.0599139790118,2.0177566639794517
0.039810717055349734,1,306.1098824219959,3.9678034926337227
0.039810717055349734,10,349.2527733107826,2.1686011569936996
0.039810717055349734,100,352.67117624187597,2.114554621204523
0.06309573444801933,1,197.36723484498458,4.3524364813970555
0.06309573444801933,10,219.85074694662333,3.0229555134718193
0.06309573444801933,100,221.95909975013203,3.000161336541341
0.1,1,129.09116628851007,4.686581958256687
0.1,10,140.1911795504074,3.2100824917930155
0.1,100,141.36240382207063,3.1151201860661057
