g,epsilon,t_event,h_center
0.001,0.1,12592.406841435806,1.073602727458629
0.001,0.2,11878.332603687566,1.0397074940710418
0.001,0.3,11590.13915644128,1.0291952214185347
0.001122018454301963,0.1,11201.01189252443,1.0828295865016404
0.001122018454301963,0.2,10573.48374186855,1.0437198408377912
0.001122018454301963,0.3,10320.630599318405,1.031783466177067
0.0012589254117941675,0.1,9961.875124536811,1.0937140715207594
0.0012589254117941675,0.2,9410.716263960863,1.0483334786412648
0.0012589254117941675,0.3,9189.184157265858,1.0346995985650742
0.001412537544622754,0.1,8858.402809144223,1.1066086210531993
0.001412537544622754,0.2,8374.614033744914,1.053617091012368
0.001412537544622754,0.3,8180.917593188014,1.0380170992737954
0.001584893192461114,0.1,7876.180092619402,1.1221121430453551
0.001584893192461114,0.2,7451.482351080834,1.059689186032948
0.001584893192461114,0.3,7282.493372460288,1.041828262929831
0.0017782794100389228,0.1,7001.781459233023,1.1411927025016593
0.0017782794100389228,0.2,6629.02685137081,1.0666913220739977
0.0017782794100389228,0.3,6481.774026263981,1.0461457561090564
0.001995262314968879,0.1,6223.785582507483,1.1655382590912688
0.001995262314968879,0.2,5896.376501698539,1.0747920766697119
0.001995262314968879,0.3,5768.334095353273,1.0511326045724978
0.00223872113856834,0.1,5531.648328193622,1.198989542033083
0.00223872113856834,0.2,5243.525161078353,1.0842748556721857
0.00223872113856834,0.3,5132.586756052803,1.0568237718181483
0.0025118864315095794,0.1,4916.3975570310595,1.2542747629170843
0.0025118864315095794,0.2,4662.168734906991,1.0954080919846372
0.0025118864315095794,0.3,4566.076284150146,1.063384378511636
0.002818382931264455,0.1,4369.531451875615,1.4260238667970362
0.002818382931264455,0.2,4144.437695909588,1.1086350637779379
0.002818382931264455,0.3,4061.457528550926,1.0709581142732087
0.0031622776601683794,0.1,3883.9513468328764,1.7916952250317146
0.0031622776601683794,0.2,3683.515834013345,1.1245772248879253
0.0031622776601683794,0.3,3611.866039989505,1.079780338620895
0.0035481338923357532,0.1,3453.2996250264714,1.9025212945356027
0.0035481338923357532,0.2,3273.1978846618244,1.1444215761035403
0.0035481338923357532,0.3,3211.4399754054516,1.0900869023876432
0.003981071705534973,0.1,3071.2951890771933,1.9617170925404313
0.003981071705534973,0.2,2908.059981024821,1.170259503858968
0.003981071705534973,0.3,2854.737374243407,1.1023066494983436
0.0044668359215096305,0.1,2732.6500798178126,2.0074170096972046
0.0044668359215096305,0.2,2583.2389388008205,1.2081969834394328
0.0044668359215096305,0.3,2537.136829381041,1.1169455291131547
0.005011872336272725,0.1,2433.421988687543,2.051750431019903
0.005011872336272725,0.2,2294.3874078108706,1.2998734700745789
0.005011872336272725,0.3,2254.404057312425,1.1348431312772593
0.005623413251903491,0.1,2169.0559262749775,2.0980387778483416
0.005623413251903491,0.2,2037.7335132069095,1.8281419948667526
0.005623413251903491,0.3,2002.7273491799158,1.1576687506804257
0.00630957344480193,0.1,1935.8521735630507,2.1510318937847415
0.00630957344480193,0.2,1809.9236667037871,1.9455948980541247
0.00630957344480193,0.3,1778.836747606514,1.1893217194462873
0.00707945784384138,0.1,1730.3083276333487,2.2136100853811493
0.00707945784384138,0.2,1607.6243850405417,1.9974806542214614
0.00707945784384138,0.3,1579.6992178459202,1.2500509093199943
0.007943282347242814,0.1,1549.072012457481,2.289298415746334
0.007943282347242814,0.2,1427.9309323500652,2.037536797004398
0.007943282347242814,0.3,1402.6264097292587,1.8307388683849726
0.008912509381337459,0.1,1389.0808076476503,2.3812054284748485
0.008912509381337459,0.2,1268.7286033708579,2.078373568667706
0.008912509381337459,0.3,1245.4717735677598,1.9635330955493715
0.01,0.1,1247.8677057529378,2.48330068497437
0.01,0.2,1128.0068443541566,2.1246352617091384
0.01,0.3,1105.8095478846035,2.0115779776843317
