g,t,width
0.005,0.0,1.952171791117621
0.005,0.000816292012273488,1.952171791117621
0.005,0.00102036501534186,1.952171791117621
0.005,0.0010331195780336332,1.952171791117621
0.005,0.0010458741407254064,1.952171791117621
0.005,0.0010489334472986438,1.952171791117621
0.005,0.0010519927538718812,1.952171791117621
0.005,0.0010550520604451186,1.952171791117621
0.005,0.001058111367018356,1.952171791117621
0.005,0.0010611706735915935,1.952171791117621
0.005,0.001064229980164831,1.952171791117621
0.005,0.0010672892867380683,1.952171791117621
0.005,0.0010703485933113057,1.952171791117621
0.005,0.0010734078998845431,1.952171791117621
0.005,0.0010764672064577806,1.952171791117621
0.005,0.001079526513031018,1.952171791117621
0.005,0.0010825858196042554,1.952171791117621
0.005,0.0010856451261774928,1.952171791117621
0.005,0.0010887044327507302,1.952171791117621
0.005,0.0010917637393239676,1.952171791117621
0.005,0.001094823045897205,1.952171791117621
0.005,0.0010978823524704425,1.952171791117621
0.005,0.0011040009656169173,1.952171791117621
0.005,0.0011101195787633922,1.952171791117621
0.005,0.0011713057102281403,1.952171791117621
0.005,0.0012324918416928884,1.952171791117621
0.005,0.0018443531563403699,1.952171791117621
0.005,0.002456214470987851,1.952171791117621
0.005,0.004109187859595029,1.952171791117621
0.005,0.005762161248202207,1.952171791117621
0.005,0.00835339031944761,1.7569546120058561
0.005,0.010944619390693012,1.7569546120058561
0.005,0.013535848461938414,1.7569546120058561
0.005,0.01777073164114723,1.7569546120058561
0.005,0.022005614820356047,1.7569546120058561
0.005,0.026240497999564863,1.5617374328940912
0.005,0.03047538117877368,1.5617374328940912
0.005,0.03527703747940669,1.5617374328940912
0.005,0.040078693780039705,1.3665202537823404
0.005,0.04488035008067272,1.3665202537823404
0.005,0.04968200638130573,1.1713030746705755
0.005,0.055053804394853474,1.1713030746705755
0.005,0.06042560240840122,0.9760858955588105
0.005,0.06579740042194897,0.7808687164470456
0.005,0.07116919843549671,0.5856515373352806
0.005,0.07654099644904445,0.19521717911176495
0.005,0.0819127944625922,0.0
0.005,0.08728459247613994,0.0
0.005,0.09265639048968768,0.0
0.005,0.09668275423114063,0.0
0.005,0.10005834696523194,0.0
0.005,0.10343393969932325,0.0
0.005,0.10680953243341457,0.0
0.005,0.11212730132536648,0.0
0.005,0.1174450702173184,0.0
0.005,0.12276283910927031,0.0
0.005,0.12998734211170826,0.0
0.005,0.1372118451141462,0.0
0.005,0.14443634811658412,0.0
0.005,0.15166085111902206,0.0
0.005,0.1606944086359865,0.0
0.005,0.16972796615295094,0.0
0.005,0.17876152366991538,0.0
0.005,0.18779508118687982,0.0
0.005,0.19889645631159486,0.0
0.005,0.2099978314363099,0.0
0.005,0.22109920656102494,0.0
0.005,0.23706250969013629,0.0
0.005,0.25302581281924763,0.0
0.005,0.268989115948359,0.0
0.005,0.2918199261466172,0.0
0.005,0.31465073634487545,0.0
0.005,0.33748154654313367,0.0
0.005,0.37065444371894785,0.0
0.005,0.403827340894762,0.0
0.005,0.4370002380705762,0.0
0.005,0.48676766777952796,0.0
0.005,0.5365350974884797,3.709126403123477
0.005,0.5863025271974315,3.904343582235242
0.005,0.663681117826061,3.904343582235242
0.005,0.7410597084546905,4.099560761346993
0.005,0.81843829908332,4.099560761346993
0.005,0.9304720315808531,4.099560761346993
0.005,1.0425057640783864,4.099560761346993
0.005,1.1545394965759195,4.099560761346993
0.005,1.2665732290734526,4.099560761346993
