g,epsilon,t_event,h_center
0.001,0.5,nan,nan
0.001,1,nan,nan
0.001,2,nan,nan
0.001995262314968879,0.5,5644.652356920449,1.0335838803876007
0.001995262314968879,1,5521.874697339278,1.0210814076852763
0.001995262314968879,2,5434.812775639791,1.015001229160156
0.003981071705534973,0.5,2805.0546042720953,1.06083706368125
0.003981071705534973,1,2754.744460638542,1.0337256326071627
0.003981071705534973,2,2717.3058733936155,1.021116181797912
0.007943282347242814,0.5,1384.8229443107743,1.1276859215203667
0.007943282347242814,1,1368.5831912261433,1.0611586237160717
0.007943282347242814,2,1355.495927389646,1.033803675640427
0.015848931924611134,0.5,678.6309957051387,2.027940137065715
0.015848931924611134,1,675.3039827789922,1.1283950586743368
0.015848931924611134,2,673.3158085512194,1.061297378523226
0.03162277660168379,0.5,333.19905037025654,2.474527740280495
0.03162277660168379,1,330.5403637376732,2.0526020234120086
0.03162277660168379,2,332.12334214320504,1.1287622460286508
0.0630957344480193,0.5,169.757862064544,3.1890472322345658
0.0630957344480193,1,161.85990711796396,2.775665706335846
0.0630957344480193,2,162.43755257966825,2.0652077299903975
0.12589254117941676,0.5,88.11719544213696,3.94458001687938
0.12589254117941676,1,82.3269299268121,3.3744866878354545
0.12589254117941676,2,79.42164602632347,2.9414009948738222
0.25118864315095796,0.5,45.441587506697985,4.527756575265151
0.25118864315095796,1,42.84034615656329,4.176803833301197
0.25118864315095796,2,40.40273256450012,3.591299485867566
0.501187233627272,0.5,24.13877458184736,4.981318541383649
0.501187233627272,1,22.228952024867382,4.7088947504201775
0.501187233627272,2,21.17836392675737,4.376149430254151
1.0,0.5,13.243337689977203,5.076048637530363
1.0,1,12.049585569218927,5.010441646962995
1.0,2,11.21046225508423,4.865205560123222
