g,t,width
0.01,0.0,1.952171791117621
0.01,0.0008161702203116059,1.952171791117621
0.01,0.0010202127753895073,1.952171791117621
0.01,0.0010329654350818762,1.952171791117621
0.01,0.001045718094774245,1.952171791117621
0.01,0.0010487773573140855,1.952171791117621
0.01,0.001051836619853926,1.952171791117621
0.01,0.0010548958823937665,1.952171791117621
0.01,0.001057955144933607,1.952171791117621
0.01,0.0010610144074734474,1.952171791117621
0.01,0.001064073670013288,1.952171791117621
0.01,0.0010671329325531284,1.952171791117621
0.01,0.0010701921950929689,1.952171791117621
0.01,0.0010732514576328094,1.952171791117621
0.01,0.0010763107201726498,1.952171791117621
0.01,0.0010793699827124903,1.952171791117621
0.01,0.0010824292452523308,1.952171791117621
0.01,0.0010854885077921713,1.952171791117621
0.01,0.0010885477703320118,1.952171791117621
0.01,0.0010916070328718522,1.952171791117621
0.01,0.0010946662954116927,1.952171791117621
0.01,0.0010977255579515332,1.952171791117621
0.01,0.0011038440830312142,1.952171791117621
0.01,0.0011099626081108951,1.952171791117621
0.01,0.0011711478589077051,1.952171791117621
0.01,0.0012323331097045152,1.952171791117621
0.01,0.0018441856176726152,1.952171791117621
0.01,0.0024560381256407155,1.952171791117621
0.01,0.0041089807783513885,1.952171791117621
0.01,0.0057619234310620614,1.952171791117621
0.01,0.008353067526163372,1.7569546120058561
0.01,0.010944211621264684,1.7569546120058561
0.01,0.013535355716365997,1.7569546120058561
0.01,0.017770283861842515,1.7569546120058561
0.01,0.022005212007319034,1.7569546120058561
0.01,0.026240140152795553,1.5617374328940912
0.01,0.03047506829827207,1.5617374328940912
0.01,0.03527662937431033,1.5617374328940912
0.01,0.040078190450348584,1.3665202537823404
0.01,0.04487975152638684,1.3665202537823404
0.01,0.049681312602425094,1.1713030746705755
0.01,0.0550530806132773,1.1713030746705755
0.01,0.06042484862412951,0.9760858955588105
0.01,0.06579661663498171,0.7808687164470456
0.01,0.07116838464583392,0.5856515373352806
0.01,0.07654015265668612,0.19521717911176495
0.01,0.08191192066753833,0.0
0.01,0.08728368867839054,0.0
0.01,0.09265545668924274,0.0
0.01,0.09668132719862906,0.0
0.01,0.10005643361364276,0.0
0.01,0.10343154002865647,0.0
0.01,0.10680664644367018,0.0
0.01,0.11212464603669008,0.0
0.01,0.11744264562970998,0.0
0.01,0.12276064522272988,0.0
0.01,0.12998332186035663,0.0
0.01,0.1372059984979834,0.0
0.01,0.14442867513561017,0.0
0.01,0.15165135177323694,0.0
0.01,0.15970239702397948,0.0
0.01,0.16775344227472205,0.0
0.01,0.17580448752546463,0.0
0.01,0.1838555327762072,0.0
0.01,0.19415037594648907,0.0
0.01,0.20444521911677094,0.0
0.01,0.2147400622870528,0.0
0.01,0.230158802937412,0.0
