g,t,h_max
0.01,0.0,1.0698216699004093
0.01,0.0008175568521812916,1.0688519944207213
0.01,0.0010219460652266144,1.068606602859214
0.01,0.001073043368487945,1.0685506507616591
0.01,0.0010756087816687098,1.0685462523525628
0.01,0.0010781741948494745,1.0685418975451653
0.01,0.0010807396080302393,1.068537857705074
0.01,0.001083305021211004,1.0685341034016365
0.01,0.0010858704343917687,1.0685305602627224
0.01,0.0010884358475725334,1.0685271640668834
0.01,0.0010910012607532982,1.0685238678991194
0.01,0.0010935666739340629,1.0685206392294886
0.01,0.0010961320871148276,1.0685174559238917
0.01,0.0010986975002955923,1.0685143030280257
0.01,0.001101262913476357,1.068511170464624
0.01,0.0011038283266571218,1.0685080514488006
0.01,0.0011063937398378865,1.0685049414134455
0.01,0.0011089591530186512,1.0685018372844606
0.01,0.001111888188266344,1.0684982966415038
0.01,0.0011148172235140369,1.0684947607177424
0.01,0.0011177462587617297,1.068491226520249
0.01,0.0011204058460461091,1.0684880180676277
0.01,0.0011470017188899026,1.06845592295451
0.01,0.001173597591733696,1.0684237955458171
0.01,0.0012001934645774895,1.0683916255339099
0.01,0.0014661521930154253,1.0680654028730998
0.01,0.0017321109214533611,1.0677347840603861
0.01,0.0031204629086294096,1.065892741096942
0.01,0.0045088148958054575,1.0639478744890387
0.01,0.0067650089806611646,1.060676717927299
0.01,0.009021203065516872,1.0572182002604111
0.01,0.011277397150372579,1.053637416542607
0.01,0.015221871173053486,1.0472183056706126
0.01,0.019166345195734395,1.0408040233661189
0.01,0.023110819218415304,1.0345461513995604
0.01,0.027055293241096214,1.0284973123171632
0.01,0.03185400638709921,1.0214247036858581
0.01,0.03665271953310221,1.014678515457275
0.01,0.041451432679105206,1.008257637988823
0.01,0.0462501458251082,1.0021665580441756
0.01,0.0510488589711112,0.9964091997142988
0.01,0.0558475721171142,0.9909945114404444
0.01,0.060646285263117196,0.9859307443771949
0.01,0.06544499840912019,0.9812230027785349
0.01,0.07024371155512318,0.9768721980817379
0.01,0.07504242470112618,0.972874233624714
0.01,0.08038897427796493,0.9688209978499446
0.01,0.08573552385480368,0.9651728461054231
0.01,0.09108207343164243,0.9619081898487137
0.01,0.09642862300848118,0.9590031265602513
0.01,0.10177517258531993,0.9564326893929577
0.01,0.10712172216215868,0.9541718233371013
0.01,0.11246827173899743,0.9521961098195232
0.01,0.11781482131583618,0.9504820203038096
0.01,0.12316137089267493,0.949007253513437
0.01,0.12927286199470597,0.9475858851157848
0.01,0.13538435309673702,0.946420360782851
0.01,0.14149584419876807,0.9454839751189427
0.01,0.1483094364087037,0.9446780468204955
0.01,0.15398204160134868,0.9441801144735384
0.01,0.15965464679399366,0.9438202610323129
0.01,0.16532725198663864,0.9447240201068667
0.01,0.17354634538518862,0.9464562956137303
0.01,0.1817654387837386,0.9480941626082864
0.01,0.18998453218228858,0.9495964958580452
0.01,0.19820362558083857,0.950981912978969
0.01,0.20642271897938855,0.9522663930485268
0.01,0.21464181237793853,0.9534635850174029
0.01,0.22887373240090159,0.9553705207414618
0.01,0.24310565242386464,0.9570975159783233
0.01,0.2573375724468277,0.9586797484327203
0.01,0.27918881431412973,0.9608778188871404
0.01,0.30104005618143176,0.9628671546155348
0.01,0.3228912980487338,0.9647072974887398
0.01,0.3447425399160358,0.96642860901687
0.01,0.3698212988424013,0.9682804332992052
0.01,0.39490005776876674,0.9701010034035827
0.01,0.4199788166951322,0.9718156871321276
0.01,0.4610225810436618,0.9744152354127013
0.01,0.5020663453921913,0.9768771263857733
0.01,0.5431101097407208,0.9791483474691177
0.01,0.613195419486837,0.9827132228395191
0.01,0.6832807292329532,0.9858756957238152
0.01,0.7533660389790695,0.9886804379725022
0.01,0.8618912726504955,0.9924418161571801
0.01,0.9704165063219214,0.9955449163555182
0.01,1.0789417399933474,0.9981014303372863
0.01,1.227280074085382,1.0007998230855397
0.01,1.3756184081774165,1.0028034524377927
0.01,1.523956742269451,1.0042786776112687
0.01,1.6722950763614857,1.005370084135279
0.01,1.8677661555963232,1.0064038133494306
0.01,2.0632372348311607,1.007126807889056
0.01,2.258708314065998,1.0076173631797005
0.01,2.4541793933008353,1.0079369764332937
0.01,2.6496504725356727,1.0081381946241454
0.01,2.9174109168167477,1.0083097293394085
0.01,3.1851713610978227,1.008422291625612
0.01,3.4529318053788978,1.0085044964660337
0.01,3.720692249659973,1.0085678124853876
0.01,4.413154819105102,1.0086745444753331
0.01,5.105617388550232,1.0087346970950157
0.01,5.798079957995361,1.0087723661659271
0.01,7.185842696833866,1.0088333079802618
0.01,8.573605435672372,1.008862183482637
0.01,9.961368174510877,1.0089053975277618
0.01,11.349130913349383,1.0089558807532322
0.01,12.736893652187888,1.0090027904840801
0.01,14.124656391026393,1.0089999245184333
0.01,15.512419129864899,1.009017007405492
0.01,16.900181868703406,1.0090316690512329
0.01,18.287944607541913,1.0090403123241836
0.01,19.67570734638042,1.0090505894583393
0.01,21.063470085218928,1.0091012767220817
0.01,22.451232824057435,1.0091074440308045
0.01,23.838995562895942,1.0091085523213623
0.01,25.22675830173445,1.009121392202117
0.01,26.614521040572956,1.0091407398876575
0.01,28.31535402455383,1.0091829566644146
0.01,30.016187008534704,1.0091976778149163
0.01,31.717019992515578,1.0092003562990879
0.01,33.417852976496455,1.009167198840823
