g,epsilon,h_center
0.0011069410767284428,0.1,1.766984438604697
0.002090490042122515,0.2,1.8337609649549473
0.003029145977149917,0.30000000000000004,1.8171277215800508
0.003947950535117321,0.4,1.748053116075298
0.004879922248509798,0.5,1.737771518006208
0.006031899574140239,0.6000000000000001,1.9705422121086889
0.0070710678118654745,0.7000000000000001,1.9896231685491652
0.007861503318472235,0.8,1.9654974497011433
0.0087402972324268,0.9,1.9515612015324342
0.009717326650701378,1.0,1.9688330510227603
0.01080357277623304,1.1,1.9934220010069992
0.011391415731080184,1.2000000000000002,1.880786783545481
0.012664799002734763,1.3,1.9955942493095125
0.013353914818633274,1.4000000000000001,1.9602036064149524
0.014080526737519207,1.5,1.7175639968046217
0.015654510834572408,1.6,2.007730293042184
0.016506302560910038,1.7000000000000002,2.0052485294047804
0.017404441896107778,1.8,2.0043681964516513
0.018351450701767056,1.9000000000000001,2.005667025590852
0.019349988058778307,2.0,2.0083914213936302
