g,epsilon,t_event,h_center
0.001,0.5,11313.357230720625,1.0210032943622365
0.001,1,11043.737204590372,1.0149785721624107
0.001,2,10857.116317587432,1.0119987330289213
0.001291549665014884,0.5,8747.842100781601,1.0246203666522158
0.001291549665014884,1,8544.806966043776,1.0167506985120531
0.001291549665014884,2,8403.227502173298,1.0128742223999783
0.0016681005372000592,0.5,6761.5965955293,1.0293732613045736
0.0016681005372000592,1,6609.9951444822655,1.0190472790784921
0.0016681005372000592,2,6503.347050695574,1.0140115136643193
0.0021544346900318843,0.5,5223.916561907114,1.0356522755633584
0.0021544346900318843,1,5111.989760971226,1.0220594814850807
0.0021544346900318843,2,5032.309251772519,1.0154871389508382
0.0027825594022071257,0.5,4033.6079902998595,1.0440333961750667
0.0027825594022071257,1,3952.2125684968996,1.0260054124994298
0.0027825594022071257,2,3893.3487701826725,1.0174087059844994
0.003593813663804626,0.5,3112.3186840617286,1.0552743000031435
0.003593813663804626,1,3054.297652339736,1.0312084167025364
0.003593813663804626,2,3011.5213266962437,1.0199089787580777
0.004641588833612777,0.5,2399.418130190556,1.0706349488422289
0.004641588833612777,1,2359.1869437060286,1.0380765140570853
0.004641588833612777,2,2328.7784571758853,1.023178509630484
0.005994842503189409,0.5,1847.977747666309,1.0921637156877941
0.005994842503189409,1,1821.1013916816935,1.0472627314680154
0.005994842503189409,2,1800.1818920723279,1.0274801930888517
0.007742636826811269,0.5,1421.7093796236427,1.1237036284281487
0.007742636826811269,1,1404.6433600985633,1.0596939510579668
0.007742636826811269,2,1390.9402886416901,1.0331439149961028
0.01,0.5,1092.5172495162901,1.1762769241499096
0.01,1,1082.4423366991562,1.0767105753971624
0.01,2,1074.1479281669954,1.040664130666464
