g,t,h_max
0.0001,0.0,1.0698216699004093
0.0001,0.0008177978913299917,1.068850631543081
0.0001,0.0010222473641624897,1.0686048969461501
0.0001,0.001073359732370614,1.0685488396106293
0.0001,0.0010759203155422524,1.0685444484504987
0.0001,0.0010784808987138908,1.0685401014754603
0.0001,0.0010810414818855291,1.068536068157855
0.0001,0.0010836020650571675,1.0685323189377212
0.0001,0.0010861626482288058,1.0685287798042575
0.0001,0.0010887232314004442,1.0685253869150209
0.0001,0.0010912838145720825,1.068522093635235
0.0001,0.0010938443977437208,1.0685188676169655
0.0001,0.0010964049809153592,1.068515686836478
0.0001,0.0010989655640869975,1.0685125364032857
0.0001,0.0011015261472586359,1.0685094062754594
0.0001,0.0011040867304302742,1.0685062896867115
0.0001,0.0011066473136019125,1.0685031820790263
0.0001,0.001109207896773551,1.0685000803822067
0.0001,0.0011117684799451892,1.068496982528448
0.0001,0.0011143290631168276,1.0684938871254035
0.0001,0.001116889646288466,1.0684907932359549
0.0001,0.0011203198551329985,1.068486649707254
0.0001,0.0011546219435783244,1.0684451976458482
0.0001,0.0011889240320236503,1.068403698081196
0.0001,0.0012232261204689762,1.068362124652717
0.0001,0.0015662470049222356,1.0679388009055049
0.0001,0.0019092678893754952,1.0675081039657293
0.0001,0.003388366640489377,1.0655213023633383
0.0001,0.004867465391603259,1.0634226551354247
0.0001,0.007227579508695225,1.059960920119338
0.0001,0.00958769362578719,1.0563103853370164
0.0001,0.011947807742879157,1.052542302674043
0.0001,0.015981496134276792,1.045966800144373
0.0001,0.02001518452567443,1.0394258534307264
0.0001,0.024048872917072067,1.0330641677564625
0.0001,0.028082561308469704,1.0269277989818903
0.0001,0.03287142199720687,1.0199355099929726
0.0001,0.037660282685944034,1.0132682493233005
0.0001,0.0424491433746812,1.0069250863299022
0.0001,0.04723800406341836,1.0009107610497563
0.0001,0.052026864752155524,0.9952308965669779
0.0001,0.05681572544089269,0.989894303969311
0.0001,0.06160458612962985,0.984908891265103
0.0001,0.06750017724336954,0.9792587119616035
0.0001,0.07339576835710923,0.9741448018694195
0.0001,0.07929135947084892,0.9695551199412273
0.0001,0.08518695058458861,0.9654674763019001
0.0001,0.09205041644203218,0.9613010771595898
0.0001,0.09891388229947576,0.9577217501323483
0.0001,0.10577734815691933,0.9546744478519824
0.0001,0.1126408140143629,0.9521052465197134
0.0001,0.11950427987180648,0.9499635066539023
0.0001,0.12636774572925005,0.9482026928717526
0.0001,0.13323121158669363,0.9467801857450655
0.0001,0.1400946774441372,0.9456567786676229
0.0001,0.14695814330158077,0.9447964174815834
0.0001,0.15382160915902435,0.9441662447017038
0.0001,0.16068507501646792,0.9437367124260719
0.0001,0.1675485408739115,0.9450585346881616
0.0001,0.17441200673135507,0.9464939433846415
0.0001,0.183631722820729,0.948301185765499
0.0001,0.19285143891010295,0.9499451063202241
0.0001,0.2020711549994769,0.9514504979078758
0.0001,0.21129087108885083,0.9528381208326056
0.0001,0.22636195554691477,0.9548949371791146
0.0001,0.2414330400049787,0.9567425175699119
0.0001,0.25650412446304266,0.9584269278987134
0.0001,0.2715752089211066,0.9599816149618514
0.0001,0.296127555511575,0.9622922216125184
0.0001,0.3206799021020434,0.9643933203588261
0.0001,0.3452322486925118,0.9663322530299754
0.0001,0.3697845952829802,0.9681375102720018
0.0001,0.41053326024608616,0.9710169312302227
0.0001,0.45128192520919214,0.9736386031784386
0.0001,0.4920305901722981,0.9760880202033694
0.0001,0.532779255135404,0.9783828220211306
0.0001,0.6014199087876968,0.981893785271898
0.0001,0.6700605624399896,0.9850118539799287
0.0001,0.7387012160922823,0.9877868100752417
0.0001,0.8073418697445751,0.9902682677438006
0.0001,0.9289234782615,0.9939747202231489
0.0001,1.050505086778425,0.9969503506448466
0.0001,1.1720866952953497,0.9993425291117239
0.0001,1.2936683038122745,1.0012556308330938
0.0001,1.4786662288835641,1.0034130084413972
0.0001,1.6636641539548538,1.0048731110426186
0.0001,1.8486620790261434,1.0058702976546248
0.0001,2.033660004097433,1.006559176078889
0.0001,2.2958981238205536,1.007180943762687
0.0001,2.5581362435436743,1.007558396275353
0.0001,2.820374363266795,1.0077984367780293
0.0001,3.0826124829899157,1.0079576277690385
0.0001,3.5879924174266393,1.008145068335132
0.0001,4.093372351863363,1.00824919135605
0.0001,4.598752286300087,1.0083090615502375
0.0001,5.744636511087993,1.0083999310677405
0.0001,6.890520735875899,1.008440522376027
0.0001,8.036404960663805,1.008470513449154
0.0001,9.52144976973797,1.008493015013854
0.0001,11.006494578812134,1.0085616799566637
0.0001,12.491539387886299,1.0085901674352304
0.0001,13.976584196960463,1.0086053593320137
0.0001,15.461629006034627,1.0086141641512363
0.0001,16.94667381510879,1.0086293049960116
0.0001,20.98557503277274,1.0086736895083634
0.0001,25.024476250436688,1.008707430233814
0.0001,29.063377468100636,1.0086502378411406
0.0001,33.10227868576459,1.0086840509230375
0.0001,36.3277402485167,1.0087635517252431
0.0001,39.553201811268806,1.0087994899015942
0.0001,42.778663374020915,1.0088032076061073
0.0001,48.27970273428165,1.008828408769376
0.0001,53.78074209454238,1.0088319476709466
0.0001,59.28178145480312,1.0088378459742415
0.0001,66.72326035693479,1.0088737539999373
0.0001,74.16473925906647,1.008890034632467
0.0001,81.60621816119814,1.008885372710843
0.0001,90.09395443158417,1.008897740324251
0.0001,98.58169070197019,1.008926568994715
0.0001,107.06942697235621,1.0089437117252045
0.0001,115.55716324274223,1.0089264781333827
0.0001,126.97447068127572,1.0089295748553369
0.0001,138.3917781198092,1.0088688432895385
0.0001,149.8090855583427,1.0089149720069386
0.0001,161.2263929968762,1.0089288605634228
0.0001,172.6437004354097,1.0089352756333538
0.0001,184.0610078739432,1.0089253056852467
0.0001,195.4783153124767,1.0089300463727777
0.0001,215.79868008689874,1.0089296088526754
0.0001,236.1190448613208,1.0089306376660716
0.0001,256.43940963574283,1.0089326841455863
0.0001,312.23253525730576,1.0089364394189866
0.0001,368.0256608788687,1.0089396178204626
0.0001,423.8187865004316,1.0089463186047691
0.0001,516.4862434923649,1.0089479400566963
0.0001,609.1537004842983,1.0089630494998654
0.0001,701.8211574762316,1.0089692517542557
0.0001,806.1107204418574,1.0090179768044902
0.0001,910.4002834074832,1.0089669405956476
0.0001,991.3474217268879,1.0089557086858965
0.0001,1072.2945600462926,1.008977257924012
0.0001,1153.2416983656972,1.0089724317631503
0.0001,1234.1888366851017,1.0089773038179812
0.0001,1325.8767285116533,1.0089588157771001
0.0001,1417.5646203382048,1.0089826680045146
0.0001,1509.2525121647564,1.008985927530784
0.0001,1600.940403991308,1.0090080195314117
0.0001,1692.6282958178595,1.0089906784692744
0.0001,1784.316187644411,1.0089920463763213
0.0001,1876.0040794709626,1.0089736201961483
0.0001,1967.691971297514,1.0089952565303624
0.0001,2059.3798631240657,1.0089981662103678
0.0001,2151.067754950617,1.0089993918443205
0.0001,2242.7556467771687,1.0089942310371098
0.0001,2334.4435386037203,1.0090019810306976
0.0001,2426.131430430272,1.0090038232003418
0.0001,2500.0,1.0090022927468951
0.001,0.0,1.0698216699004093
0.001,0.0008177759728428942,1.0688507554742748
0.001,0.0010222199660536177,1.0686050520662909
0.001,0.0010733309643562985,1.0685489945686333
0.001,0.0010759039458763942,1.0685445897306323
0.001,0.0010784769273964898,1.0685402268221162
0.001,0.0010810499089165854,1.0685361779163367
0.001,0.001083622890436681,1.0685324141501074
0.001,0.0010861958719567766,1.0685288612543118
0.001,0.0010887688534768722,1.0685254549743068
0.001,0.0010913418349969678,1.0685221483699046
0.001,0.0010939148165170635,1.068518908921143
0.001,0.001096487798037159,1.0685157145294322
0.001,0.0010990607795572547,1.068512550287384
0.001,0.0011016337610773503,1.0685094061659806
0.001,0.001104206742597446,1.068506275424404
0.001,0.0011067797241175415,1.0685031535331266
0.001,0.0011093527056376372,1.0685000374487208
0.001,0.001112319543234788,1.0684964478325656
0.001,0.0011152863808319387,1.0684928629078787
0.001,0.0011182532184290895,1.0684892796607874
0.001,0.0011209114912666609,1.068486069661747
0.001,0.0011474942196423744,1.068453958544505
0.001,0.0011740769480180879,1.0684218146821278
0.001,0.0012006596763938014,1.0683896283192473
0.001,0.0014664869601509372,1.0680632478021934
0.001,0.001732314243908073,1.0677324759958802
0.001,0.0031206073435322366,1.0658888801569355
0.001,0.0045089004431564,1.063942488314553
0.001,0.006765124685042852,1.0606687042674317
0.001,0.009021348926929304,1.057207620688034
0.001,0.011277573168815756,1.0536243432887689
0.001,0.015221933231197752,1.0472013321150806
0.001,0.019166293293579748,1.0407833986484256
0.001,0.023110653355961745,1.0345221117063803
0.001,0.02705501341834374,1.0284700781907825
0.001,0.031853879335034266,1.0213934356624192
0.001,0.036652745251724794,1.0146435303874586
0.001,0.04145161116841532,1.008219218668914
0.001,0.04625047708510585,1.00212495434322
0.001,0.05104934300179638,0.996364622144057
0.001,0.05584820891848691,0.9909471357088151
0.001,0.060647074835177436,0.9858807130684264
0.001,0.06544594075186796,0.9811704285929571
0.001,0.0702448066685585,0.9768171683910993
0.001,0.07504367258524902,0.972816815125464
0.001,0.0803905669583313,0.9687608475323566
0.001,0.08573746133141358,0.9651100333462002
0.001,0.09108435570449586,0.961842770150236
0.001,0.09643125007757813,0.9589351429323983
0.001,0.10177814445066041,0.9563621743025887
0.001,0.10712503882374269,0.9540988006780253
0.001,0.11247193319682497,0.9521205967265329
0.001,0.11781882756990725,0.950404028923917
0.001,0.12316572194298953,0.9489267924999472
0.001,0.12927635028335413,0.9475028774661661
0.001,0.13538697862371873,0.9463347141101603
0.001,0.14149760696408334,0.9453956119580964
0.001,0.1483082854512246,0.944586786205403
0.001,0.15397672751981778,0.9440864346441432
0.001,0.15964516958841096,0.943723981070615
0.001,0.16531361165700414,0.94464464493206
0.001,0.1735206001391944,0.9463754796030109
0.001,0.18172758862138466,0.948008899471812
0.001,0.18993457710357492,0.949507178164542
0.001,0.19814156558576518,0.9508888548400316
0.001,0.20634855406795544,0.9521698464637128
0.001,0.2145555425501457,0.9533637523868581
