g,epsilon,t_event
0.01,0.5,2517.9716723541583
0.012589254117941675,0.5,1927.912043181073
0.015848931924611134,0.5,1472.556569036249
0.0199526231496888,0.5,1121.7426897907392
0.025118864315095794,0.5,851.9830695641735
0.03162277660168379,0.5,644.9268476986933
0.039810717055349734,0.5,486.40623494113896
0.05011872336272725,0.5,365.2992814676403
0.06309573444801933,0.5,273.0631074236301
0.07943282347242814,0.5,203.0380210102212
0.1,0.5,150.06227649099418
0.12589254117941676,0.5,110.19302239755878
0.15848931924611143,0.5,80.35859349327316
0.19952623149688797,0.5,58.171794915854804
0.25118864315095807,0.5,41.808567080199104
0.31622776601683794,0.5,29.865153250051392
0.3981071705534973,0.5,21.29966213507091
0.5011872336272725,0.5,15.26773328685422
0.6309573444801934,0.5,11.06958942790897
0.7943282347242817,0.5,8.128705810559735
1.0,0.5,6.035615556564045
