g,epsilon,t_event,h_center
0.001,0.5,14772.246457744588,1.037507906246463
0.001,1,14541.931601142021,1.0228361395749404
0.001,2,14364.905678313053,1.0158290692325784
0.0010964781961431851,0.5,13452.438045415307,1.0404736370292311
0.0010964781961431851,1,13252.262354395843,1.0242125885018956
0.0010964781961431851,2,13095.862516759962,1.0165030384553546
0.001202264434617413,0.5,12248.897240534945,1.0437705499892456
0.001202264434617413,1,12076.14642928008,1.0257406583876696
0.001202264434617413,2,11938.506931133206,1.0172449711105034
0.0013182567385564075,0.5,11151.389964226675,1.0474469251926233
0.0013182567385564075,1,11003.48423412611,1.0274396387102782
0.0013182567385564075,2,10882.984442969526,1.0180476714367541
0.001445439770745928,0.5,10150.596418870786,1.0515646586197682
0.001445439770745928,1,10025.260153793002,1.0292970730806292
0.001445439770745928,2,9920.325355242729,1.0189416594353837
0.001584893192461114,0.5,9237.897523932359,1.0561542652929166
0.001584893192461114,1,9133.130176374147,1.0313693336848728
0.001584893192461114,2,9042.417530190445,1.0199345629158143
0.0017378008287493763,0.5,8405.7852248568,1.0613238129383065
0.0017378008287493763,1,8319.569077618777,1.033657516933874
0.0017378008287493763,2,8241.752350871198,1.021010385592795
0.0019054607179632482,0.5,7646.975676623737,1.067146281264212
0.0019054607179632482,1,7577.619628751986,1.036192302142118
0.0019054607179632482,2,7511.517964917188,1.0222048345941017
0.0020892961308540386,0.5,6955.160347849844,1.0736938624084729
0.0020892961308540386,1,6900.981176196735,1.0390092289875774
0.0020892961308540386,2,6845.617987825937,1.0235231242194294
0.0022908676527677724,0.5,6324.424935167571,1.0811324668578532
0.0022908676527677724,1,6283.9681567477655,1.042146615997133
0.0022908676527677724,2,6238.239455773197,1.0249769417927854
0.0025118864315095794,0.5,5749.385869797711,1.0896416277810297
0.0025118864315095794,1,5721.304818306374,1.045625085586252
0.0025118864315095794,2,5684.367469847921,1.0265832458926676
0.002754228703338166,0.5,5225.237629547043,1.0994161484418687
0.002754228703338166,1,5208.186268830814,1.049518842282486
0.002754228703338166,2,5179.21771855389,1.028357207312817
0.003019951720402016,0.5,4747.414848342203,1.1107871434530687
0.003019951720402016,1,4740.27904794537,1.0538822040573739
0.003019951720402016,2,4718.569478177731,1.0303219628728333
0.003311311214825911,0.5,4311.91783669996,1.1241472578318321
0.003311311214825911,1,4313.597911978854,1.0587603090001254
0.003311311214825911,2,4298.445363669239,1.0324936169627328
0.003630780547701014,0.5,3915.110387206396,1.140277698910235
0.003630780547701014,1,3924.537905946917,1.0642415642193865
0.003630780547701014,2,3915.29644031387,1.0349082354061856
0.003981071705534973,0.5,3553.5254919676318,1.160517675147403
0.003981071705534973,1,3569.8207781181227,1.0704081806921213
0.003981071705534973,2,3565.9014586973503,1.0375860415958176
0.004365158322401661,0.5,3224.098358980646,1.1886581398262672
0.004365158322401661,1,3246.4394508777746,1.0774120684047275
0.004365158322401661,2,3247.261732306845,1.0405527158539618
0.004786300923226385,0.5,2924.0576329449373,1.2712292551659412
0.004786300923226385,1,2951.5485435901232,1.0853699801612762
0.004786300923226385,2,2956.6901746766516,1.0438628707750086
0.005248074602497723,0.5,2651.010413528255,1.9947988049261354
0.005248074602497723,1,2682.763887380125,1.0944797839022873
0.005248074602497723,2,2691.7011115839973,1.0475466939541653
0.005754399373371567,0.5,2402.506934658663,2.028081449805393
0.005754399373371567,1,2437.7129286706618,1.1050286052844709
0.005754399373371567,2,2450.0789387081945,1.0516639763219544
0.00630957344480193,0.5,2175.6892773464915,2.0509190412713205
0.00630957344480193,1,2214.40017830243,1.1173167354585902
0.00630957344480193,2,2229.7383710187073,1.0562663815400817
0.006918309709189363,0.5,1968.8457801996149,2.0760382727364046
0.006918309709189363,1,2010.8553002997648,1.1320010064324597
0.006918309709189363,2,2028.8291310866096,1.0614363047171926
0.007585775750291836,0.5,1780.6205163200777,2.107911691758154
0.007585775750291836,1,1825.3927287546578,1.1499448226430573
0.007585775750291836,2,1845.6321490963958,1.067251366692128
0.008317637711026709,0.5,1609.7145104119327,2.1488997602350315
0.008317637711026709,1,1656.428893564715,1.1734499430190413
