g,time,width
0.01,216.9007175435455,15.13671875
0.01,218.73081686794376,15.33203125
0.01,220.560916192342,15.33203125
0.01,222.39101551674025,15.52734375
0.01,224.2211148411385,15.52734375
0.01,226.05121416553675,15.72265625
0.01,227.881313489935,15.72265625
0.01,229.71141281433324,15.91796875
0.01,231.5415121387315,16.11328125
0.01,233.37161146312974,16.11328125
0.01,235.201710787528,16.30859375
0.01,237.03181011192623,16.30859375
0.01,238.86190943632448,16.50390625
0.01,240.69200876072273,16.50390625
0.01,242.52210808512098,16.69921875
0.01,244.35220740951922,16.69921875
0.01,246.18230673391747,16.89453125
0.01,248.01240605831572,16.89453125
0.01,249.84250538271397,17.08984375
0.01,251.6726047071122,17.28515625
0.01,253.19673913644843,17.28515625
0.01,254.72087356578464,17.28515625
0.01,256.24500799512083,17.48046875
0.01,257.769142424457,17.48046875
0.01,259.2932768537932,17.67578125
0.01,260.8174112831294,17.67578125
0.01,262.3415457124656,17.87109375
0.01,263.86568014180176,17.87109375
0.01,265.38981457113795,18.06640625
0.01,266.91394900047413,18.06640625
0.01,268.4380834298103,18.26171875
0.01,269.9622178591465,18.26171875
0.01,271.4863522884827,18.45703125
0.01,273.0104867178189,18.45703125
0.01,274.53462114715506,18.65234375
0.01,276.05875557649125,18.65234375
0.01,277.58289000582744,18.65234375
0.01,279.1070244351636,18.84765625
0.01,280.6311588644998,18.84765625
0.01,282.155293293836,19.04296875
0.01,283.6794277231722,19.04296875
0.01,285.20356215250837,19.23828125
0.01,286.72769658184455,19.23828125
0.01,288.25183101118074,19.43359375
0.01,289.7759654405169,19.43359375
0.01,291.3000998698531,19.62890625
0.01,292.8242342991893,19.62890625
0.01,294.3483687285255,19.82421875
0.01,295.8725031578617,19.82421875
0.01,297.39663758719786,20.01953125
0.01,298.92077201653404,20.01953125
0.01,300.44490644587023,20.21484375
0.01,301.9690408752064,20.21484375
0.01,303.4931753045426,20.41015625
0.01,305.0173097338788,20.41015625
0.01,306.541444163215,20.41015625
0.01,308.06557859255116,20.60546875
0.01,309.58971302188735,20.60546875
0.01,311.11384745122353,20.80078125
0.01,312.6379818805597,20.80078125
0.01,314.1621163098959,20.99609375
0.01,315.6862507392321,20.99609375
0.01,317.2103851685683,21.19140625
0.01,318.73451959790447,21.19140625
0.01,320.25865402724065,21.38671875
0.01,321.78278845657684,21.38671875
0.01,323.03386476100354,21.58203125
0.01,324.06540990341415,21.58203125
0.01,325.09695504582476,21.58203125
0.01,326.12850018823536,21.77734375
0.01,327.16004533064597,21.77734375
0.01,328.1915904730566,21.77734375
0.01,329.2231356154672,21.97265625
0.01,330.2546807578778,21.97265625
0.01,331.42648550427316,21.97265625
0.01,332.5982902506685,22.16796875
