g,epsilon,t_event,h_center
0.01,0.5,1092.5172495162901,1.1762769241499096
0.01,1,1082.4423366991562,1.0767105753971624
0.01,2,1074.1479281669954,1.040664130666464
0.01291549665014884,0.5,838.7212103488577,1.9168396524381524
0.01291549665014884,1,833.2469092291542,1.100817879125276
0.01291549665014884,2,828.9254774898737,1.050729499469762
0.016681005372000592,0.5,643.5540580071998,2.042428843734634
0.016681005372000592,1,640.6613574030495,1.1370721799796957
0.016681005372000592,2,639.1521819646464,1.064387704080123
0.021544346900318832,0.5,493.5403650722453,2.1272351369816325
0.021544346900318832,1,491.9916568161267,1.207001516438779
0.021544346900318832,2,492.3360980056647,1.0832746575179462
0.027825594022071243,0.5,379.3844268896554,2.292365429056792
0.027825594022071243,1,377.50669507443854,2.0215336305965024
0.027825594022071243,2,378.8097981495826,1.1103631245685275
0.03593813663804628,0.5,293.09516854291223,2.7016721778216124
0.03593813663804628,1,289.31028846617636,2.0877859369412746
0.03593813663804628,2,291.0977526810673,1.1525753922983162
0.046415888336127774,0.5,227.91503089407138,2.9484313197088934
0.046415888336127774,1,221.72769676052602,2.2062834177764703
0.046415888336127774,2,223.41854072311583,1.9494748010299068
0.05994842503189409,0.5,178.22720884104731,3.143800945621786
0.05994842503189409,1,170.48168075768479,2.6774910895842003
0.05994842503189409,2,171.33500348750192,2.0532633863283922
0.0774263682681127,0.5,139.810449711208,3.4080281196441975
0.0774263682681127,1,131.86127648855208,2.9626330017495
0.0774263682681127,2,131.17968905930957,2.1320047637097903
0.1,0.5,109.7117406677166,3.715542809243302
0.1,1,102.6626867100331,3.136445384385921
0.1,2,100.53358847261363,2.4102679244084797
