epsilon,g,t_event,h_center
1,0.025,1617.2639522512611,2.042218653825576
1,0.05,687.5571482417963,2.9529763568027683
1,0.075,408.9343920957296,3.3453389045600863
1,0.1,281.15774504060437,3.8270333426852865
1,0.25,85.63654156520494,4.906110789603008
5,0.025,1256.0234952498663,1.0423239661351695
5,0.05,612.106495054327,1.0824615839624239
5,0.075,398.10430141987746,1.1346053519148502
5,0.1,291.53312120627595,2.0029419578915766
5,0.25,102.20789196901755,3.1139441645452886
